,GEOID,POP,FULL_NAME,LAT,LON,DISTANCE_TO_TOP_RIGHT
0,3151,39007000102,Census Tract 1.02  Ashtabula County  Ohio,41.9581574,-80.558966,0.0
1,3563,39007000103,Census Tract 1.03  Ashtabula County  Ohio,41.9414505,-80.5691543,0.016810701456885443
2,4994,39007000101,Census Tract 1.01  Ashtabula County  Ohio,41.924548,-80.59875009999999,0.035192174612805334
3,4329,39007000200,Census Tract 2  Ashtabula County  Ohio,41.9107163,-80.6588177,0.05741146199289077
4,2106,39007000300,Census Tract 3  Ashtabula County  Ohio,41.8881299,-80.7366176,0.10158759098255635
5,1706,39007000400,Census Tract 4  Ashtabula County  Ohio,41.897794899999994,-80.78891180000001,0.11323757093764829
6,2514,39007000601,Census Tract 6.01  Ashtabula County  Ohio,41.889135499999995,-80.8017265,0.1279545603602541
7,4535,39007000500,Census Tract 5  Ashtabula County  Ohio,41.8717888,-80.7757115,0.1333472117702509
8,3308,39007000602,Census Tract 6.02  Ashtabula County  Ohio,41.890191200000004,-80.8345072,0.14388915289743714
9,3588,39007000704,Census Tract 7.04  Ashtabula County  Ohio,41.845904700000006,-80.7609693,0.1530580332108825
10,7638,39007001200,Census Tract 12  Ashtabula County  Ohio,41.8029084,-80.61869420000001,0.15881645787523885
11,2897,39007000701,Census Tract 7.01  Ashtabula County  Ohio,41.861756899999996,-80.8115367,0.1601924584984949
12,3702,39007000703,Census Tract 7.03  Ashtabula County  Ohio,41.851009399999995,-80.80743829999999,0.16888648386728672
13,0,39007990000,Census Tract 9900  Ashtabula County  Ohio,42.1015473,-80.77043540000001,0.18810920713636792
14,4361,39007000603,Census Tract 6.03  Ashtabula County  Ohio,41.8617868,-80.8750372,0.19627160346943773
15,5786,39007001102,Census Tract 11.02  Ashtabula County  Ohio,41.758438500000004,-80.78394449999999,0.25033422546223977
16,2424,39007000702,Census Tract 7.02  Ashtabula County  Ohio,41.803219299999995,-80.86941850000001,0.25131885475625926
17,1834,39007000801,Census Tract 8.01  Ashtabula County  Ohio,41.849467499999996,-80.93845340000001,0.25270058675877405
18,5005,39007000802,Census Tract 8.02  Ashtabula County  Ohio,41.7934995,-80.9238343,0.29778677634488293
19,4504,39007001302,Census Tract 13.02  Ashtabula County  Ohio,41.6632568,-80.61832199999999,0.2984237347359976
20,4708,39007000900,Census Tract 9  Ashtabula County  Ohio,41.8172391,-80.97737679999999,0.31598589755662687
21,3425,39007001002,Census Tract 10.02  Ashtabula County  Ohio,41.74326129999999,-80.9118687,0.3394364156672952
22,1896,39007001101,Census Tract 11.01  Ashtabula County  Ohio,41.6616948,-80.7715182,0.3416410377248401
23,5649,39085206000,Census Tract 2060  Lake County  Ohio,41.817215399999995,-81.0243493,0.3575236159188918
24,2757,39085205702,Census Tract 2057.02  Lake County  Ohio,41.82659520000001,-81.0601884,0.3827860942617537
25,3310,39007001301,Census Tract 13.01  Ashtabula County  Ohio,41.5540692,-80.6142137,0.40714050835528626
26,1142,39085205900,Census Tract 2059  Lake County  Ohio,41.7511641,-81.0194752,0.4190620232846445
27,4565,39085205701,Census Tract 2057.01  Lake County  Ohio,41.8048671,-81.07948449999999,0.4242298088422389
28,5264,39007001001,Census Tract 10.01  Ashtabula County  Ohio,41.6535933,-80.909818,0.42766122590400263
29,3163,39085206100,Census Tract 2061  Lake County  Ohio,41.7725847,-81.0531252,0.42976601494463307
30,8074,39007001400,Census Tract 14  Ashtabula County  Ohio,41.5529028,-80.8609475,0.49644742634224714
31,1501,39085205800,Census Tract 2058  Lake County  Ohio,41.739727,-81.0887698,0.49912246649443154
32,0,39085990000,Census Tract 9900  Lake County  Ohio,41.9759734,-81.2553315,0.5027409095902517
33,4817,39085206300,Census Tract 2063  Lake County  Ohio,41.7850097,-81.1433156,0.5146121550201493
34,3059,39155930101,Census Tract 9301.01  Trumbull County  Ohio,41.4368209,-80.5738076,0.5215567730905567
35,2306,39055310100,Census Tract 3101  Geauga County  Ohio,41.675726399999995,-81.05859720000001,0.5320623360134528
36,1647,39085205400,Census Tract 2054  Lake County  Ohio,41.7640997,-81.1433641,0.5355788392836064
37,2491,39155930200,Census Tract 9302  Trumbull County  Ohio,41.4254854,-80.6650193,0.5439193024408879
38,2496,39085205300,Census Tract 2053  Lake County  Ohio,41.736298,-81.1550328,0.5771550300622428
39,3697,39155930300,Census Tract 9303  Trumbull County  Ohio,41.4041362,-80.7307411,0.5835278849800057
40,1963,39055310200,Census Tract 3102  Geauga County  Ohio,41.602202899999995,-81.05376340000001,0.6007789670467729
41,3063,39085205200,Census Tract 2052  Lake County  Ohio,41.675364200000004,-81.1372032,0.6171514594638376
42,4102,39155930400,Census Tract 9304  Trumbull County  Ohio,41.418474200000006,-80.8585338,0.6294240667968352
43,5121,39085204800,Census Tract 2048  Lake County  Ohio,41.755708399999996,-81.2157898,0.6338665042464388
44,2501,39155930102,Census Tract 9301.02  Trumbull County  Ohio,41.324106,-80.5566266,0.634056872792357
45,3658,39055311000,Census Tract 3110  Geauga County  Ohio,41.5418685,-81.0419255,0.6495387786402544
46,6774,39155930900,Census Tract 9309  Trumbull County  Ohio,41.33047020000001,-80.7187963,0.6532329247980785
47,2403,39155931100,Census Tract 9311  Trumbull County  Ohio,41.310250700000005,-80.66289859999999,0.6587086853427515
48,5942,39085204900,Census Tract 2049  Lake County  Ohio,41.723684000000006,-81.216596,0.6669506168999884
49,5940,39155931000,Census Tract 9310  Trumbull County  Ohio,41.3191306,-80.7720994,0.684452646195558
50,4702,39055312203,Census Tract 3122.03  Geauga County  Ohio,41.627236700000005,-81.1556024,0.686895693804963
51,5922,39155930500,Census Tract 9305  Trumbull County  Ohio,41.4241355,-80.9527029,0.689050646421615
52,3379,39085204400,Census Tract 2044  Lake County  Ohio,41.7233539,-81.23563850000001,0.6926891722562608
53,4456,39085204200,Census Tract 2042  Lake County  Ohio,41.7395879,-81.25030090000001,0.696513443958032
54,3513,39085204500,Census Tract 2045  Lake County  Ohio,41.723515500000005,-81.24534659999999,0.7057602280563424
55,4119,39155931300,Census Tract 9313  Trumbull County  Ohio,41.2446263,-80.57621479999999,0.713828621101437
56,3080,39085204000,Census Tract 2040  Lake County  Ohio,41.747598100000005,-81.27280859999999,0.720130557574742
57,2471,39055312400,Census Tract 3124  Geauga County  Ohio,41.4679065,-81.0393954,0.7210633083843648
58,4676,39155930800,Census Tract 9308  Trumbull County  Ohio,41.3198016,-80.8519175,0.7241763813522499
59,6261,39085204302,Census Tract 2043.02  Lake County  Ohio,41.7124067,-81.2575497,0.7337698859056855
60,5328,39155933001,Census Tract 9330.01  Trumbull County  Ohio,41.2506199,-80.7260248,0.735446142657443
61,3884,39155931200,Census Tract 9312  Trumbull County  Ohio,41.234039700000004,-80.6666687,0.7357175715872846
62,4434,39155931400,Census Tract 9314  Trumbull County  Ohio,41.219192299999996,-80.542455,0.7392377131210013
63,4488,39155933002,Census Tract 9330.02  Trumbull County  Ohio,41.254788500000004,-80.75273809999999,0.7409165267383998
64,5705,39085205002,Census Tract 2050.02  Lake County  Ohio,41.6894062,-81.247036,0.7421915248999917
65,1643,39085206200,Census Tract 2062  Lake County  Ohio,41.7338316,-81.2797088,0.7437959837518304
66,2213,39155921300,Census Tract 9213  Trumbull County  Ohio,41.265234299999996,-80.79171099999999,0.7470933350249989
67,6650,39085205100,Census Tract 2051  Lake County  Ohio,41.6576473,-81.2308463,0.751933237528084
68,3262,39155921400,Census Tract 9214  Trumbull County  Ohio,41.2449113,-80.775059,0.7599422846489996
69,4733,39055312300,Census Tract 3123  Geauga County  Ohio,41.4643937,-81.07875440000001,0.7639436807745659
70,1843,39155921200,Census Tract 9212  Trumbull County  Ohio,41.2676285,-80.8382766,0.7685433112723581
71,4186,39155930700,Census Tract 9307  Trumbull County  Ohio,41.2899745,-80.87621700000001,0.7688310970010062
72,3228,39055310900,Census Tract 3109  Geauga County  Ohio,41.5404556,-81.15200300000001,0.7693946833690075
73,3719,39155921100,Census Tract 9211  Trumbull County  Ohio,41.2521195,-80.8123483,0.7702404899532875
74,2454,39155932900,Census Tract 9329  Trumbull County  Ohio,41.2165295,-80.73261459999999,0.771781736281955
75,2972,39155920300,Census Tract 9203  Trumbull County  Ohio,41.242897,-80.7994089,0.7730731881604107
76,2234,39085204301,Census Tract 2043.01  Lake County  Ohio,41.7105632,-81.2840352,0.7733195447886451
77,5461,39155921500,Census Tract 9215  Trumbull County  Ohio,41.2268456,-80.7700473,0.7758671152096918
78,4517,39085204700,Census Tract 2047  Lake County  Ohio,41.695350899999994,-81.2791469,0.7814670287248172
79,5596,39155932000,Census Tract 9320  Trumbull County  Ohio,41.1864894,-80.66158409999998,0.7821984744476055
80,2686,39155920400,Census Tract 9204  Trumbull County  Ohio,41.23255770000001,-80.7974797,0.7824884850876788
81,2579,39155933800,Census Tract 9338  Trumbull County  Ohio,41.2409885,-80.8154454,0.782950582624359
